company_id,industry_sector,listing_status,credit_rating_band,audit_going_concern_flag,years_in_operation,num_employees,debt_to_equity_ratio,current_ratio,interest_coverage_ratio,revenue_growth_pct,net_profit_margin_pct,working_capital_to_assets_ratio,macroeconomic_interest_rate_pct,distress_risk_category
50,Construction,Private,High Risk,,3.4,160,0.86,2.66,0.11,16.06,4.699946288720228,0.291,13.56,Healthy
51,Manufacturing,Public,Speculative,Yes,7.5,618,0.38,2.46,4.64,0.8,11.357901696419752,0.226,13.23,Healthy
52,Technology,Private,High Risk,,2.7,467,0.37,1.82,-2.82,-4.74,-2.7239966722583784,0.169,10.75,Healthy
53,Manufacturing,Private,High Risk,,23.3,178,2.08,1.27,9.19,6.73,7.439223847063729,0.073,11.88,Healthy
54,Construction,Private,Speculative,,5.8,46,1.8,1.72,-1.38,-9.91,16.413083321642887,0.132,12.21,Watch
55,Energy,Private,Investment Grade,,1.6,373,1.13,1.71,3.1,-4.41,28.587217543743616,0.163,8.26,Healthy
56,Energy,Private,High Risk,,15.2,233,1.0,0.91,4.19,2.0,,-0.042,13.69,Watch
57,Manufacturing,Public,Speculative,No,6.6,494,1.03,1.14,8.94,6.78,0.9630448386162174,0.051,14.52,Healthy
58,Manufacturing,Private,Investment Grade,,15.5,140,1.22,0.89,11.99,1.59,3.118853929982236,0.028,12.03,Healthy
59,Retail,Private,Speculative,,9.2,170,2.55,2.3,6.21,9.44,0.6924442046849055,0.318,13.65,Healthy
60,Manufacturing,Public,Investment Grade,Yes,3.5,253,1.05,1.37,-5.52,12.47,7.534807538072518,0.067,16.03,Healthy
61,Manufacturing,Public,Speculative,No,28.2,184,0.27,1.49,4.96,-0.51,8.716416555416782,0.045,13.93,Healthy
62,Retail,Public,High Risk,No,15.2,651,2.37,1.95,-6.7,2.28,-8.771012396924409,0.104,14.57,Healthy
63,Energy,Private,Investment Grade,,38.5,240,3.05,1.49,-1.2,4.43,-5.5776206840696645,0.108,12.07,Distressed
64,Construction,Private,Speculative,,19.8,175,2.7,1.92,9.98,-3.57,27.83477806153442,0.229,14.74,Healthy
65,Manufacturing,Private,Speculative,,5.8,33,1.08,0.58,5.03,-5.24,-4.623621560823631,-0.061,11.91,Watch
66,Technology,Private,Speculative,,2.7,249,1.07,2.95,12.34,7.73,7.771953546667191,0.465,12.43,Healthy
67,Manufacturing,Public,Investment Grade,No,3.2,189,0.86,1.94,8.35,-2.49,2.685384885506607,0.196,13.68,Healthy
68,Energy,Private,Speculative,,1.9,283,0.56,1.58,5.02,4.49,15.04875422612506,0.119,11.95,Healthy
69,Manufacturing,Private,Speculative,,5.6,995,0.81,1.06,4.13,-1.79,10.418035374614753,-0.026,13.27,Healthy
70,Energy,Private,Speculative,,9.6,380,2.1,2.81,13.93,6.32,,0.493,17.44,Healthy
71,Technology,Private,High Risk,,7.5,496,0.5,0.4,-0.96,9.42,7.436528561025991,-0.08,14.16,Healthy
72,Energy,Public,High Risk,No,11.2,405,0.25,2.96,1.62,-1.69,-4.35121496170839,0.555,15.03,Healthy
73,Energy,Public,Speculative,No,24.3,360,0.06,1.79,1.48,-16.31,-0.746370399512756,0.217,15.32,Healthy
74,Manufacturing,Private,Investment Grade,,3.0,591,2.13,1.67,2.54,-3.46,2.2088697483287656,0.123,11.57,Healthy
75,Construction,Public,Investment Grade,No,20.1,158,0.21,0.59,7.15,-10.98,1.3906969692313904,-0.065,12.19,Healthy
76,Manufacturing,Public,High Risk,No,14.0,275,3.38,2.72,-5.97,0.78,7.547556108542823,0.287,13.48,Watch
77,Technology,Private,Speculative,,1.8,110,2.45,1.78,0.57,1.64,10.213877735490676,0.194,12.23,Healthy
78,Technology,Private,Speculative,,9.7,50,0.3,0.55,8.17,-5.5,-0.8656122251345479,-0.06,12.93,Healthy
79,Manufacturing,Public,High Risk,Yes,12.1,614,0.63,0.1,4.84,12.5,3.1354730262108346,-0.184,15.12,Healthy
80,Construction,Public,Investment Grade,No,8.5,560,1.0,1.57,8.52,12.96,14.557600853767662,0.147,10.46,Healthy
81,Energy,Public,Speculative,No,20.2,784,2.76,1.29,5.43,5.87,13.29290101561119,0.043,11.27,Watch
82,Manufacturing,Public,Investment Grade,No,21.0,357,0.05,0.73,-1.97,8.4,-1.6816453691546815,-0.037,14.44,Distressed
83,Technology,Public,Investment Grade,No,16.8,929,1.28,2.94,7.2,-3.03,0.9835845130040282,0.194,14.96,Healthy
84,Technology,Private,Investment Grade,,9.2,200,1.69,1.53,4.06,19.83,-0.5414761651071327,0.094,13.13,Healthy
85,Retail,Private,Speculative,,14.3,486,4.3,2.67,-5.58,2.4,,0.238,10.75,Watch
86,Construction,Private,High Risk,,3.8,479,0.06,0.84,-3.32,0.08,7.819117449306218,-0.037,15.95,Healthy
87,Construction,Private,Investment Grade,,8.5,194,2.78,2.1,9.35,15.06,8.316419152324904,0.213,13.31,Healthy
88,Technology,Private,Speculative,,8.8,342,1.01,1.69,-4.83,-3.84,7.128636300928587,0.127,14.73,Watch
89,Manufacturing,Private,High Risk,,16.4,255,1.57,2.27,7.49,-0.8,-3.225942474549651,0.193,17.96,Distressed
90,Construction,Private,Investment Grade,,20.6,16,0.27,1.05,2.74,4.39,5.025105017210792,0.057,10.03,Healthy
91,Retail,Private,Investment Grade,,7.8,694,0.71,1.09,2.42,-4.97,-1.8330094605647895,-0.04,14.14,Distressed
92,Manufacturing,Public,Investment Grade,No,28.3,142,2.88,1.65,5.06,-1.61,-1.0605592914068884,0.061,13.71,Watch
93,Construction,Private,Speculative,,5.1,360,0.39,2.59,17.94,6.21,8.9145942978237,0.182,15.01,Healthy
94,Construction,Public,Speculative,Yes,15.5,240,1.16,2.3,1.15,21.08,0.5265583815144854,0.193,9.86,Healthy
95,Construction,Private,Speculative,,8.1,273,0.7,1.4,-1.62,1.52,-5.009630347813969,0.027,11.86,Watch
96,Technology,Private,Investment Grade,,4.8,149,4.67,0.39,6.14,8.53,20.90415880266074,-0.127,9.28,Watch
97,Energy,Private,Investment Grade,,11.3,450,1.15,2.48,1.76,16.4,-0.6199982571978842,0.199,10.35,Healthy
98,Retail,Public,Speculative,No,7.1,597,0.22,1.31,-1.62,-14.12,-2.557010455200416,0.107,14.43,Watch
99,Energy,Private,Speculative,,6.4,338,0.69,2.2,-1.73,-1.59,-6.559559781823435,0.281,11.07,Healthy
100,Retail,Public,High Risk,No,9.8,154,1.04,2.02,-1.81,20.37,0.35160845877039026,0.127,10.88,Healthy
101,Energy,Private,Investment Grade,,5.6,115,3.87,2.49,7.82,3.59,-0.3698970194732141,0.304,13.97,Healthy
102,Technology,Public,Speculative,No,8.4,312,1.36,1.47,7.08,11.71,,0.041,11.87,Healthy
103,Retail,Private,Speculative,,8.6,350,1.72,1.67,8.87,11.71,0.3617760258819489,0.078,13.23,Healthy
104,Retail,Private,Speculative,,15.3,366,0.27,1.92,10.54,1.47,-6.691482543367073,0.185,14.53,Healthy
105,Construction,Public,Speculative,No,8.6,185,4.9,2.35,3.74,11.59,8.410967274313656,0.273,10.6,Watch
106,Construction,Public,Investment Grade,No,8.9,175,0.85,1.04,2.1,22.67,3.577922280671081,-0.018,11.95,Healthy
107,Construction,Private,Speculative,,11.9,539,2.69,1.72,-1.44,14.64,4.251218311339596,0.106,10.96,Healthy
108,Manufacturing,Public,Speculative,Yes,3.4,302,1.22,1.23,3.7,13.06,3.247891212882857,0.031,11.29,Healthy
109,Technology,Public,Speculative,No,7.1,202,3.83,2.06,9.7,4.68,1.7884207152656222,0.177,16.87,Healthy
110,Energy,Private,Speculative,,6.1,70,1.03,2.01,5.29,10.95,1.156386769047236,0.197,13.57,Healthy
111,Technology,Private,Investment Grade,,7.4,289,0.79,3.87,8.5,15.56,-1.3224115511416485,0.495,13.99,Healthy
112,Retail,Private,Speculative,,8.6,438,1.09,1.85,8.16,11.51,,0.067,11.92,Watch
113,Manufacturing,Private,Speculative,,6.7,152,2.02,2.64,-0.36,2.6,5.3247550502651695,0.394,12.4,Healthy
114,Technology,Public,Speculative,No,2.0,60,0.71,0.95,7.39,7.75,17.72166017175868,0.024,11.82,Healthy
115,Technology,Private,Speculative,,5.2,288,0.62,2.0,12.99,8.7,15.394356327449461,0.171,11.1,Healthy
116,Technology,Private,Investment Grade,,3.4,197,0.78,0.87,2.89,12.96,0.4664277422260916,-0.041,19.23,Healthy
117,Retail,Private,Speculative,,13.1,464,1.62,1.6,11.13,-3.89,9.031707132135264,0.031,11.49,Healthy
118,Retail,Private,Investment Grade,,11.1,11,0.42,0.58,4.14,3.72,-4.630056804404909,-0.007,12.05,Watch
119,Manufacturing,Private,Speculative,,27.1,494,2.33,1.07,7.79,-3.18,3.9826899413429437,0.023,15.71,Watch
120,Manufacturing,Private,Investment Grade,,13.4,277,0.9,0.1,-9.35,8.83,-1.681644136082343,-0.206,15.56,Healthy
121,Retail,Public,Speculative,No,5.0,76,7.41,2.24,12.44,3.61,2.945635874901118,0.146,13.31,Watch
122,Construction,Private,Speculative,,9.4,480,1.4,3.52,5.77,2.86,12.509080165189541,0.39,11.36,Healthy
123,Retail,Public,Investment Grade,Yes,19.5,177,2.02,2.35,5.44,12.86,25.357195614916705,0.28,16.48,Healthy
124,Energy,Private,Investment Grade,,7.8,145,3.43,1.69,2.65,3.18,9.14470493544792,0.058,13.03,Healthy
125,Manufacturing,Public,Speculative,No,23.4,181,1.91,2.13,4.71,21.94,19.212500246265254,0.233,12.98,Healthy
126,Manufacturing,Private,Speculative,,3.0,175,0.7,1.7,1.52,-0.23,-3.9508076049734644,0.157,12.41,Distressed
127,Manufacturing,Private,High Risk,,11.2,37,1.06,1.77,-0.13,-3.47,-0.23008940892410656,0.124,11.8,Healthy
128,Construction,Public,Speculative,No,20.3,269,2.4,2.14,7.69,2.81,-2.632756993559344,0.189,11.11,Watch
129,Construction,Public,Speculative,No,12.0,116,0.68,2.3,3.35,8.89,13.784835901918523,0.235,13.81,Healthy
130,Manufacturing,Private,Speculative,,8.6,17,1.71,2.43,5.56,-2.99,4.86681630754479,0.162,12.54,Healthy
131,Energy,Public,Speculative,Yes,5.7,159,3.52,1.52,5.21,13.68,7.901290979531664,0.125,12.89,Healthy
132,Retail,Private,Investment Grade,,5.1,330,1.53,1.94,4.34,24.78,4.933066519564841,0.209,17.06,Healthy
133,Energy,Private,Investment Grade,,7.7,144,1.77,1.71,2.31,13.61,4.70594770972861,0.119,13.24,Watch
134,Manufacturing,Private,High Risk,,11.3,69,1.84,2.16,4.16,-0.31,,0.253,12.67,Distressed
135,Construction,Private,Speculative,,16.4,419,1.24,1.3,-0.1,4.74,4.119579128691805,0.015,14.27,Healthy
136,Manufacturing,Private,Investment Grade,,15.4,104,0.76,0.61,7.25,-0.65,-1.630332264149959,-0.06,19.3,Watch
137,Technology,Private,Speculative,,16.8,514,0.98,0.97,3.02,3.79,18.577199052442616,0.011,14.8,Healthy
138,Manufacturing,Public,Speculative,No,15.1,146,2.85,1.11,13.97,4.46,12.297037404357688,0.005,13.85,Healthy
139,Construction,Private,Speculative,,30.2,241,1.91,1.82,11.39,8.33,-4.601879592125977,0.097,11.83,Healthy
140,Construction,Private,Speculative,,4.5,270,2.2,1.13,8.33,21.5,5.785682985457869,-0.023,14.15,Healthy
141,Manufacturing,Private,Speculative,,2.3,236,0.89,0.78,-3.95,16.58,13.512555579035274,0.016,15.23,Healthy
142,Manufacturing,Private,Speculative,,23.1,112,2.91,1.44,0.43,-0.53,1.7712426383222413,0.095,13.28,Watch
143,Construction,Public,Speculative,No,8.4,218,1.63,1.11,6.13,-2.85,16.078097868907847,-0.024,12.62,Healthy
144,Construction,Public,Investment Grade,No,15.6,361,1.24,2.24,11.74,-10.52,11.436396792646274,0.149,11.69,Healthy
145,Construction,Private,Investment Grade,,10.7,114,1.31,0.23,8.18,16.12,-0.17549244931056052,-0.132,9.64,Distressed
146,Manufacturing,Private,Speculative,,5.7,598,0.8,1.7,-0.32,13.65,0.5078495599311665,0.115,11.72,Healthy
147,Retail,Public,Investment Grade,Yes,6.2,319,2.32,0.56,6.33,7.34,3.2649471451045566,-0.009,12.95,Watch
148,Technology,Public,Investment Grade,Yes,2.9,379,0.4,2.71,-0.41,7.31,2.06510050521074,0.473,14.76,Healthy
149,Construction,Private,Investment Grade,,14.0,410,0.2,0.1,3.53,5.79,-6.180568531340803,-0.121,12.24,Healthy
150,Retail,Private,Investment Grade,,11.5,97,0.51,0.26,12.68,10.26,-2.5875089634584274,-0.171,11.89,Watch
151,Technology,Private,Speculative,,25.1,144,1.2,2.07,-0.11,-1.96,-1.4219521709864686,0.263,15.38,Healthy
152,Energy,Private,High Risk,,5.2,269,0.25,1.7,8.75,-0.23,0.37153575186992427,0.068,12.06,Healthy
153,Manufacturing,Private,High Risk,,40.8,85,1.35,2.51,2.93,-5.36,6.362083178583695,0.219,16.44,Watch
154,Construction,Private,Investment Grade,,16.5,144,1.57,1.73,0.9,1.39,4.570073892440728,0.163,10.19,Watch
155,Manufacturing,Private,Speculative,,3.7,308,2.07,2.3,12.6,-6.23,8.617009133995094,0.35,17.13,Healthy
156,Manufacturing,Private,Investment Grade,,9.1,215,0.5,2.46,-2.04,-10.05,,0.278,11.31,Healthy
157,Construction,Private,High Risk,,17.5,395,3.46,0.1,-6.03,2.13,-0.248748791814414,-0.068,11.56,Distressed
158,Energy,Private,Investment Grade,,11.4,47,2.0,2.57,2.67,2.0,-14.017122506289937,0.378,15.47,Watch
159,Energy,Public,Speculative,No,5.7,399,1.52,0.4,13.45,-3.69,5.3287330935900155,-0.076,15.34,Healthy
160,Technology,Private,Speculative,,6.8,120,2.36,2.05,6.47,21.24,5.020293550891914,0.306,12.62,Healthy
161,Manufacturing,Private,Investment Grade,,10.3,157,1.41,0.61,10.94,14.72,-6.13429600629131,-0.117,15.29,Healthy
162,Manufacturing,Private,Investment Grade,,11.5,94,0.89,1.2,6.01,20.3,-1.014801550475644,0.044,14.75,Healthy
163,Construction,Private,Speculative,,12.3,193,0.21,1.46,7.45,8.31,,0.037,13.56,Healthy
164,Construction,Private,Speculative,,4.8,497,0.46,1.49,-1.66,5.11,-0.6219593691494518,0.087,12.99,Healthy
165,Technology,Private,Speculative,,26.1,106,0.36,3.06,-3.8,11.41,12.823501762830379,0.266,16.76,Healthy
166,Retail,Private,Investment Grade,,28.9,353,2.15,0.1,9.7,20.52,0.004587309216489643,-0.262,11.92,Watch
167,Manufacturing,Private,Investment Grade,,9.9,453,3.85,0.76,4.84,16.75,-3.7446251354853146,-0.044,13.5,Healthy
168,Retail,Private,Speculative,,21.9,263,0.38,1.43,6.21,-0.37,-8.320624158602019,0.056,12.86,Healthy
169,Retail,Public,Speculative,No,10.5,480,0.35,0.74,0.05,-14.93,8.939083776100498,-0.084,11.56,Distressed
170,Energy,Public,Speculative,No,25.5,622,0.19,1.85,8.57,-0.24,8.578135180970445,0.101,11.37,Healthy
171,Manufacturing,Private,Speculative,,12.7,317,1.89,2.23,6.33,-5.94,1.0766010003174316,0.246,12.0,Healthy
172,Manufacturing,Private,Speculative,,5.7,455,0.34,2.02,-3.28,-0.12,14.171018915092182,0.231,17.52,Watch
173,Energy,Public,Speculative,Yes,10.1,112,1.89,2.64,-2.12,3.71,-6.603485551350838,0.543,12.96,Distressed
174,Retail,Private,High Risk,,8.7,862,2.72,1.6,4.67,2.71,1.6069482117827762,0.12,16.05,Watch
175,Retail,Private,Investment Grade,,16.7,562,0.41,1.02,3.19,20.1,28.413776829075687,-0.009,14.5,Healthy
176,Construction,Private,Investment Grade,,18.5,46,1.02,2.48,12.08,-2.09,-1.196931013669838,0.208,13.16,Healthy
177,Technology,Public,Investment Grade,No,5.6,177,0.61,1.16,8.12,14.11,5.097946887499288,0.007,12.46,Healthy
178,Retail,Private,Speculative,,11.6,35,1.22,1.28,2.09,-0.77,23.88292630518432,0.083,13.02,Healthy
179,Manufacturing,Private,Investment Grade,,4.6,60,2.64,1.73,13.08,10.54,21.26982198754867,0.127,11.41,Healthy
180,Technology,Private,Speculative,,2.3,366,1.25,1.65,2.53,17.03,23.540267991559766,0.066,16.87,Healthy
181,Manufacturing,Private,Investment Grade,,17.3,333,0.52,2.55,-7.04,13.75,9.835545732141295,0.215,11.14,Healthy
182,Construction,Public,Speculative,Yes,13.8,113,2.16,1.18,8.44,8.1,25.960501698819463,0.069,13.56,Healthy
183,Technology,Private,Speculative,,5.1,506,0.05,3.03,4.37,14.82,-10.34139724140083,0.503,12.45,Healthy
184,Technology,Public,Speculative,Yes,8.7,363,1.59,2.08,-0.57,17.35,11.456839268791782,0.197,9.22,Healthy
185,Manufacturing,Private,Speculative,,9.1,202,1.25,1.76,-6.4,-3.96,12.768257619820913,0.11,12.66,Watch
186,Manufacturing,Private,Investment Grade,,4.7,44,0.53,1.23,7.7,2.68,5.093569782567814,0.017,13.02,Healthy
187,Manufacturing,Public,Investment Grade,No,19.9,448,1.47,1.59,-1.56,10.8,14.286624248768334,0.124,11.19,Healthy
188,Construction,Private,High Risk,,11.3,315,1.76,1.25,7.56,2.27,7.234731648457452,0.017,13.49,Watch
189,Technology,Public,Speculative,No,4.8,227,1.97,1.28,-4.4,14.7,7.986904701228215,0.095,14.79,Healthy
190,Energy,Private,Speculative,,14.9,108,0.16,1.21,-0.23,0.81,8.337641258488723,0.007,12.43,Healthy
191,Energy,Public,Investment Grade,No,21.5,102,0.58,0.31,6.47,8.06,-16.135279046551585,-0.157,15.69,Healthy
192,Technology,Public,Speculative,No,5.4,109,0.23,2.17,13.43,-2.53,-3.9110827466987956,0.154,13.34,Healthy
193,Manufacturing,Private,Investment Grade,,7.6,65,1.17,1.26,6.01,0.3,15.310606770488167,0.09,13.59,Healthy
194,Construction,Private,High Risk,,11.2,220,4.78,1.07,2.83,-3.33,13.613402458129091,0.085,13.67,Watch
195,Manufacturing,Private,Speculative,,15.6,157,0.62,2.36,9.23,-4.48,11.995917412185637,0.382,14.09,Healthy
196,Energy,Private,Investment Grade,,13.1,53,1.08,1.78,-1.34,-2.68,12.705722853062401,0.138,14.07,Watch
197,Energy,Private,High Risk,,3.6,134,2.38,2.41,12.61,2.91,,0.235,12.16,Healthy
198,Technology,Private,Investment Grade,,5.2,91,0.83,2.24,0.46,-1.58,16.00811313063683,0.188,11.41,Watch
199,Technology,Private,Investment Grade,,11.8,137,0.73,0.44,5.56,6.54,5.602839468714542,-0.101,12.11,Watch
200,Construction,Private,Speculative,,10.7,529,1.05,1.47,5.59,-6.99,17.603014936687124,0.075,12.94,Watch
201,Manufacturing,Private,Speculative,,3.3,334,4.38,2.78,-0.02,-0.9,5.342661675652489,0.401,17.1,Distressed
202,Technology,Private,Investment Grade,,16.1,347,0.88,1.27,9.19,16.19,13.21821790190807,0.063,12.99,Healthy
203,Technology,Private,Speculative,,7.2,125,0.82,2.95,-0.94,7.03,12.343153832489204,0.471,14.6,Healthy
204,Construction,Private,High Risk,,4.5,450,2.78,1.24,-0.32,11.33,2.0017062327219617,0.088,11.57,Distressed
205,Manufacturing,Public,Investment Grade,No,6.2,237,2.05,2.37,-2.07,14.85,20.08976640335426,0.274,12.61,Healthy
206,Technology,Private,Investment Grade,,22.1,487,2.11,0.82,9.58,4.17,2.5261449794291324,0.003,10.9,Healthy
207,Manufacturing,Public,Speculative,No,7.1,340,2.31,1.19,7.95,-0.01,9.687728561838405,0.035,17.17,Watch
208,Retail,Private,High Risk,,10.2,104,1.12,1.05,6.52,17.8,8.532026068726493,0.056,10.64,Healthy
209,Technology,Private,Speculative,,1.0,793,0.11,0.95,-0.3,7.9,1.236654750152847,-0.07,14.68,Healthy
210,Energy,Private,High Risk,,13.6,1025,0.13,1.99,0.28,0.19,7.333223166790081,0.235,8.4,Healthy
211,Construction,Private,High Risk,,3.0,187,3.19,0.1,8.26,10.5,-5.4698112221007555,-0.208,12.73,Watch
212,Manufacturing,Private,Speculative,,5.5,106,1.23,1.77,15.4,5.84,13.362926001671717,0.086,12.14,Healthy
213,Construction,Private,Investment Grade,,18.5,454,1.41,2.31,-0.6,11.58,-3.732984278914378,0.157,12.34,Watch
214,Retail,Private,Investment Grade,,36.0,364,1.09,2.01,9.95,-10.1,-5.523258065548424,0.226,14.46,Healthy
215,Retail,Public,High Risk,Yes,7.7,302,0.48,0.6,11.69,-12.12,,-0.075,15.52,Healthy
216,Construction,Private,High Risk,,15.5,290,1.05,1.84,-7.09,16.71,0.7108197295378895,0.178,15.08,Healthy
217,Technology,Private,Investment Grade,,3.3,1484,5.57,3.16,4.7,3.02,18.625700146849702,0.304,12.88,Healthy
218,Construction,Private,Investment Grade,,3.4,117,2.0,0.95,5.95,-3.17,-0.9355646040838153,-0.021,13.91,Distressed
219,Retail,Private,Speculative,,8.1,319,2.56,1.46,5.92,-1.42,,0.113,15.48,Healthy
220,Manufacturing,Private,Speculative,,4.4,528,2.41,2.68,3.8,5.63,0.15095580275564746,0.402,16.08,Healthy
221,Manufacturing,Public,Investment Grade,Yes,8.2,41,1.27,1.86,1.31,1.61,13.984760919897859,0.11,14.38,Watch
222,Retail,Private,Investment Grade,,24.0,287,1.0,1.44,3.94,-0.77,9.380976432847444,0.097,17.11,Healthy
223,Construction,Public,Investment Grade,No,11.1,219,0.25,2.02,3.35,-4.95,11.79303325711481,0.237,15.14,Healthy
224,Construction,Private,Investment Grade,,12.9,42,0.92,2.25,-3.21,6.37,14.949178923939092,0.332,11.44,Healthy
225,Manufacturing,Private,Speculative,,9.9,288,1.13,1.31,6.87,-6.8,3.941007888624736,0.094,12.85,Healthy
226,Technology,Private,High Risk,,22.3,130,0.72,1.62,2.19,-4.6,13.311555708911232,0.064,14.77,Healthy
